UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Jun06 ?        00:16:34 /lib/systemd/systemd --system --deserialize 52
root         2     0  0 Jun06 ?        00:00:02 [kthreadd]
root         3     2  0 Jun06 ?        00:00:00 [rcu_gp]
root         4     2  0 Jun06 ?        00:00:00 [rcu_par_gp]
root         6     2  0 Jun06 ?        00:00:00 [kworker/0:0H]
root         8     2  0 Jun06 ?        00:00:00 [mm_percpu_wq]
root         9     2  0 Jun06 ?        00:24:04 [ksoftirqd/0]
root        10     2  0 Jun06 ?        01:15:52 [rcu_sched]
root        11     2  0 Jun06 ?        00:00:00 [rcu_bh]
root        12     2  0 Jun06 ?        00:00:10 [migration/0]
root        14     2  0 Jun06 ?        00:00:00 [cpuhp/0]
root        15     2  0 Jun06 ?        00:00:00 [cpuhp/1]
root        16     2  0 Jun06 ?        00:00:10 [migration/1]
root        17     2  0 Jun06 ?        00:19:25 [ksoftirqd/1]
root        19     2  0 Jun06 ?        00:00:00 [kworker/1:0H-kblockd]
root        20     2  0 Jun06 ?        00:00:00 [cpuhp/2]
root        21     2  0 Jun06 ?        00:00:10 [migration/2]
root        22     2  0 Jun06 ?        00:00:07 [ksoftirqd/2]
root        24     2  0 Jun06 ?        00:00:00 [kworker/2:0H]
root        25     2  0 Jun06 ?        00:00:00 [cpuhp/3]
root        26     2  0 Jun06 ?        00:00:10 [migration/3]
root        27     2  0 Jun06 ?        00:00:08 [ksoftirqd/3]
root        29     2  0 Jun06 ?        00:00:00 [kworker/3:0H-kblockd]
root        30     2  0 Jun06 ?        00:00:00 [cpuhp/4]
root        31     2  0 Jun06 ?        00:00:10 [migration/4]
root        32     2  0 Jun06 ?        00:00:06 [ksoftirqd/4]
root        34     2  0 Jun06 ?        00:00:00 [kworker/4:0H-kblockd]
root        35     2  0 Jun06 ?        00:00:00 [cpuhp/5]
root        36     2  0 Jun06 ?        00:00:10 [migration/5]
root        37     2  0 Jun06 ?        00:00:30 [ksoftirqd/5]
root        39     2  0 Jun06 ?        00:00:00 [kworker/5:0H-kblockd]
root        40     2  0 Jun06 ?        00:00:00 [cpuhp/6]
root        41     2  0 Jun06 ?        00:00:10 [migration/6]
root        42     2  0 Jun06 ?        00:00:05 [ksoftirqd/6]
root        44     2  0 Jun06 ?        00:00:00 [kworker/6:0H-kblockd]
root        45     2  0 Jun06 ?        00:00:00 [cpuhp/7]
root        46     2  0 Jun06 ?        00:00:10 [migration/7]
root        47     2  0 Jun06 ?        00:01:03 [ksoftirqd/7]
root        49     2  0 Jun06 ?        00:00:00 [kworker/7:0H-kblockd]
root        50     2  0 Jun06 ?        00:00:00 [cpuhp/8]
root        51     2  0 Jun06 ?        00:00:10 [migration/8]
root        52     2  0 Jun06 ?        00:01:21 [ksoftirqd/8]
root        54     2  0 Jun06 ?        00:00:00 [kworker/8:0H-kblockd]
root        55     2  0 Jun06 ?        00:00:00 [cpuhp/9]
root        56     2  0 Jun06 ?        00:00:10 [migration/9]
root        57     2  0 Jun06 ?        00:01:16 [ksoftirqd/9]
root        59     2  0 Jun06 ?        00:00:00 [kworker/9:0H-kblockd]
